match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure, first_ings_score
27,"April 12,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,PBKS,League,PBKS,Bat,245.0,6.0,247.0,2.0,completed,SRH,0,8,9.0,Abhishek Sharma,Abhishek Sharma,141.0,Harshal Patel,4--42,245.0
28,"April 13,2025","Sawai Mansingh Stadium, Jaipur",RR,RCB,League,RCB,Bowl,173.0,4.0,175.0,1.0,completed,RCB,0,9,15.0,Phil Salt,Yashasvi Jaiswal,75.0,Krunal Pandya,1--29,173.0
29,"April 13,2025","Arun Jaitley Stadium, Delhi",DC,MI,League,DC,Bowl,205.0,5.0,193.0,10.0,completed,DC,12,0,6.0,Karn Sharma,Karun Nair,89.0,Karn Sharma,3--36,205.0
30,"April 14,2025","Ekana Cricket Stadium, Lucknow",LSG,CSK,League,CSK,Bowl,166.0,7.0,168.0,5.0,completed,CSK,0,5,3.0,MS Dhoni,Rishabh Pant,63.0,Ravi Bishnoi,2--18,166.0
31,"April 15,2025","New PCA Cricket Stadium, Mullanpur",PBKS,KKR,League,PBKS,Bat,111.0,10.0,95.0,10.0,completed,PBKS,16,0,29.0,Yuzvendra Chahal,Angkrish Raghuvanshi,37.0,Yuzvendra Chahal,4--28,111.0
32,"April 16,2025","Arun Jaitley Stadium, Delhi",DC,RR,League,RR,Bowl,188.0,5.0,188.0,4.0,completed,DC,super over,super over,0.0,Mitchell Starc,Nitish Rana,51.0,Jofra Archer,2--32,188.0
33,"April 17,2025","Wankhede Stadium, Mumbai",MI,SRH,League,MI,Bowl,162.0,5.0,166.0,6.0,completed,MI,0,4,11.0,Will Jacks,Abhishek Sharma,40.0,Pat Cummins,3--36,162.0
34,"April 18,2025","M. Chinnaswamy Stadium, Bangalore",RCB,PBKS,League,PBKS,Bowl,95.0,9.0,98.0,5.0,completed,PBKS,0,5,11.0,Tim David,Tim David,50.0,Josh Hazlewood,3--14,95.0
35,"April 19,2025","Narendra Modi Stadium, Ahmedabad",GT,DC,League,GT,Bowl,203.0,8.0,204.0,3.0,completed,GT,0,7,4.0,Jos Buttler,Jos Buttler,97.0,Prasidh Krishna,4--41,203.0
36,"April 19,2025","Sawai Mansingh Stadium, Jaipur",RR,LSG,League,LSG,Bat,180.0,5.0,178.0,5.0,completed,LSG,2,0,0.0,Avesh Khan,Yashasvi Jaiswal,74.0,Avesh Khan,3--37,180.0
37,"April 20,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,League,RCB,Bowl,157.0,6.0,159.0,3.0,completed,PBKS,0,7,7.0,Virat Kohli,Virat Kohli,73.0,Krunal Pandya,2--25,157.0
38,"April 20,2025","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,176.0,5.0,177.0,1.0,completed,MI,0,9,26.0,Rohit Sharma,Rohit Sharma,76.0,Jasprit Bumrah,2--25,176.0
39,"April 21,2025","Eden Gardens, Kolkata",KKR,GT,League,KKR,Bowl,198.0,3.0,159.0,8.0,completed,GT,39,0,0.0,Shubman Gill,Shubman Gill,90.0,Prasidh Krishna,2--25,198.0
40,"April 22,2025","Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Bowl,159.0,6.0,161.0,2.0,completed,DC,0,8,13.0,Mukesh Kumar,KL Rahul,57.0,Mukesh Kumar,4--33,159.0
41,"April 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,League,SRH,Bowl,143.0,8.0,146.0,3.0,completed,MI,0,7,26.0,Trent Boult,Heinrich Klassen,71.0,Trent Boult,4--26,143.0
42,"April 24,2025","M. Chinnaswamy Stadium, Bangalore",RCB,RR,League,RR,Bowl,205.0,5.0,194.0,9.0,completed,RCB,11,0,0.0,Josh Hazlewood,Virat Kohli,70.0,Josh Hazlewood,4--33,205.0
43,"April 25,2025","MA Chidambaram Stadium, Chennai",CSK,SRH,League,SRH,Bowl,154.0,10.0,155.0,5.0,completed,SRH,0,5,8.0,Harshal Patel,Ishan Kishan,44.0,Harshal Patel,4--28,154.0
44,"April 26,2025","Eden Gardens, Kolkata",KKR,PBKS,League,PBKS,Bat,201.0,4.0,7.0,0.0,tied,Its tied,0,0,114.0,Unknown,Unknown,0.0,Unknown,Unknown,201.0
45,"April 27,2025","Wankhede Stadium, Mumbai",MI,LSG,League,LSG,Bowl,215.0,7.0,161.0,10.0,completed,MI,54,0,0.0,Will Jacks,Ryan Rickelton,58.0,Jasprit Bumrah,4--22,215.0
46,"April 27,2025","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,162.0,8.0,165.0,4.0,completed,RCB,0,6,9.0,Krunal Pandya,Krunal Pandya,73.0,Bhuvneshwar Kumar,3--33,162.0
47,"April 28,2025","Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Bowl,209.0,4.0,212.0,2.0,completed,RR,0,8,25.0,Vaibhav Suryavanshi,Vaibhav Suryavanshi,101.0,Maheesh Theekshana,2--35,209.0
48,"April 29,2025","Arun Jaitley Stadium, Delhi",DC,KKR,League,DC,Bowl,204.0,9.0,190.0,9.0,completed,KKR,14,0,0.0,Sunil Narine,Faf du Plessis,62.0,Sunil Narine,3--29,204.0
49,"April 30,2025","MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Bowl,190.0,10.0,194.0,6.0,completed,PBKS,0,4,2.0,Shreyas Iyer,Sam Curran,88.0,Yuzvendra Chahal,4--32,190.0
50,"May 1,2025","Sawai Mansingh Stadium, Jaipur",RR,MI,League,RR,Bowl,217.0,2.0,117.0,10.0,completed,MI,100,0,23.0,Ryan Rickelton,Ryan Rickelton,61.0,Karn Sharma,3--23,217.0
51,"May 2,2025","Narendra Modi Stadium, Ahmedabad",GT,SRH,League,SRH,Bowl,224.0,6.0,186.0,6.0,completed,GT,38,0,0.0,Prasidh Krishna,Shubman Gill,76.0,Jaydev Unadkat,3--35,224.0
52,"May 3,2025","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,CSK,Bowl,213.0,5.0,211.0,5.0,completed,RCB,2,0,0.0,Romario Shepherd,Ayush Mhatre,94.0,Lungi Ngidi,3--30,213.0
53,"May 4,2025","Eden Gardens, Kolkata",KKR,RR,League,KKR,Bat,206.0,4.0,205.0,8.0,completed,KKR,1,0,0.0,Andre Russell,Riyan Parag,95.0,Varun Chakravarthy,2--32,206.0
54,"May 4,2025","HPCA Stadium, Dharamshala",PBKS,LSG,League,LSG,Bowl,236.0,5.0,199.0,7.0,completed,PBKS,37,0,0.0,Prabhsimran Singh,Prabhsimran Singh,91.0,Arshdeep Singh,3--16,236.0
55,"May 5,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,SRH,Bowl,133.0,7.0,Unknown,Unknown,tied,Its tied,0,0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,133.0
56,"May 6,2025","Wankhede Stadium, Mumbai",MI,GT,League,GT,Bowl,155.0,8.0,147.0,7.0,completed,GT,0,3,0.0,Shubman Gill,Will Jacks,53.0,Jasprit Bumrah,2--19,155.0
57,"May 7,2025","Eden Gardens, Kolkata",KKR,CSK,League,KKR,Bat,179.0,6.0,183.0,8.0,completed,CSK,0,2,2.0,Noor Ahmad,Dewald Brevis,52.0,Noor Ahmad,4--31,179.0
58,"May 17,2025","M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,Unknown,Bowl,1000,Unknown,Unknown,Unknown,tied,Its tied,0,0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,1000
59,"May 18,2025","Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,PBKS,Bat,219.0,5.0,209.0,7.0,completed,PBKS,10,0,0.0,Harpreet Brar,Nehal Wadhera,70.0,Harpreet Brar,3--22,219.0
60,"May 18,2025","Arun Jaitley Stadium, Delhi",DC,GT,League,GT,Bowl,199.0,3.0,205.0,0.0,completed,GT,0,10,6.0,Sai Sudarshan,Sai Sudarshan,108.0,Arshad Khan,1--7,199.0
61,"May 19,2025","Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Bowl,205.0,7.0,206.0,4.0,completed,SRH,0,6,10.0,Abhishek Sharma,Mitchell Marsh,65.0,Eshan Malinga,2--28,205.0
62,"May 20,2025","Arun Jaitley Stadium, Delhi",CSK,RR,League,RR,Bowl,187.0,8.0,188.0,4.0,completed,RR,0,6,17.0,Akash Madhwal,Vaibhav Suryavanshi,57.0,Akash Madhwal,3--29,187.0
63,"May 21,2025","Wankhede Stadium, Mumbai",MI,DC,League,DC,Bowl,180.0,5.0,121.0,10.0,completed,MI,59,0,10.0,Suryakumar Yadav,Suryakumar Yadav,73.0,Mitchell Santner,3--11,180.0
64,"May 22,2025","Narendra Modi Stadium, Ahmedabad",GT,LSG,League,GT,Bowl,235.0,2.0,202.0,9.0,completed,LSG,33,0,0.0,Mitchell Marsh,Mitchell Marsh,117.0,Will O'Rourke,3--27,235.0
65,"May 23,2025","Ekana Cricket Stadium, Lucknow",RCB,SRH,League,RCB,Bowl,231.0,6.0,189.0,10.0,completed,SRH,42,0,1.0,Ishan Kishan,Ishan Kishan,94.0,Pat Cummins,3--28,231.0
66,"May 24,2025","Sawai Mansingh Stadium, Jaipur",PBKS,DC,League,DC,Bowl,206.0,8.0,208.0,4.0,completed,DC,0,6,3.0,Sameer Rizvi,Sameer Rizvi,58.0,Mustafizur Rahman,3--33,206.0
67,"May 25,2025","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,CSK,Bat,230.0,5.0,147.0,10.0,completed,CSK,83,0,9.0,Dewald Brevis,Dewald Brevis,57.0,Noor Ahmad,3--21,230.0
68,"May 25,2025","Arun Jaitley Stadium, Delhi",KKR,SRH,League,SRH,Bat,278.0,3.0,168.0,10.0,completed,SRH,110,0,8.0,Heinrich Klassen,Heinrich Klassen,105.0,Jaydev Unadkat,3--24,278.0
69,"May 26,2025","Sawai Mansingh Stadium, Jaipur",PBKS,MI,League,PBKS,Bowl,184.0,7.0,187.0,3.0,completed,PBKS,0,7,9.0,Josh Inglis,Josh Inglis,73.0,Arshdeep Singh,2--28,184.0
70,"May 27,2025","Ekana Cricket Stadium, Lucknow",LSG,RCB,League,RCB,Bowl,227.0,3.0,230.0,4.0,completed,RCB,0,6,8.0,Jitesh Sharma,Rishabh Pant,118.0,Will O'Rourke,2--74,227.0
71,"May 29,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,Playoffs,RCB,Bowl,101.0,10.0,106.0,2.0,completed,RCB,0,8,60.0,Suyash Sharma,Phil Salt,56.0,Suyash Sharma,3--17,101.0
72,"May 30,2025","New PCA Cricket Stadium, Mullanpur",GT,MI,Playoffs,MI,Bat,228.0,5.0,208.0,6.0,completed,MI,20,0,0.0,Rohit Sharma,Rohit Sharma,81.0,Sai Kishore,2--42,228.0
73,"June 1,2025","Narendra Modi Stadium, Ahmedabad",PBKS,MI,Playoffs,PBKS,Bowl,203.0,6.0,207.0,5.0,completed,PBKS,0,5,6.0,Shreyas Iyer,Shreyas Iyer,87.0,Azmatullah Omarzai,2--43,203.0
74,"June 3,2025","Narendra Modi Stadium, Ahmedabad",RCB,PBKS,Final,PBKS,Bowl,190.0,9.0,184.0,7.0,completed,RCB,6,0,0.0,Krunal Pandya,Shashank Singh,61.0,Arshdeep Singh,3--40,190.0
